"날짜","종가","시가","고가","저가","변동 %"
"2006- 05- 01","105.08","105.59","106.11","104.58","-0.47%"
"2006- 06- 01","104.86","105.02","106.20","104.03","-0.21%"
"2006- 07- 01","106.03","104.84","106.06","104.16","1.12%"
"2006- 08- 01","107.42","106.06","107.45","105.75","1.31%"
"2006- 09- 01","108.06","107.42","108.75","106.69","0.60%"
"2006- 10- 01","108.22","108.06","108.67","106.59","0.15%"
"2006- 11- 01","109.11","108.22","109.14","107.31","0.82%"
"2006- 12- 01","107.47","109.12","109.56","107.36","-1.50%"
"2007- 01- 01","106.75","107.48","108.33","106.20","-0.67%"
"2007- 02- 01","108.56","106.81","109.23","106.56","1.70%"
"2007- 03- 01","108.12","108.45","109.30","107.89","-0.41%"
"2007- 04- 01","108.33","108.14","108.44","107.17","0.19%"
"2007- 05- 01","106.39","108.36","108.50","106.20","-1.79%"
"2007- 06- 01","105.70","106.38","106.52","104.12","-0.65%"
"2007- 07- 01","107.42","105.69","107.84","104.55","1.63%"
"2007- 08- 01","109.48","107.66","109.84","106.64","1.92%"
"2007- 09- 01","109.28","109.50","111.42","108.39","-0.18%"
"2007- 10- 01","110.02","109.22","111.20","108.20","0.68%"
"2007- 11- 01","113.92","109.94","114.97","109.73","3.54%"
"2007- 12- 01","113.39","114.05","115.02","111.50","-0.47%"
"2008- 01- 01","116.72","113.44","119.16","113.06","2.94%"
"2008- 02- 01","118.69","116.98","118.83","115.14","1.69%"
"2008- 03- 01","118.95","118.83","121.81","117.80","0.22%"
"2008- 04- 01","115.81","119.02","119.09","114.62","-2.64%"
"2008- 05- 01","113.95","115.94","116.41","113.12","-1.61%"
"2008- 06- 01","113.92","113.84","116.00","111.88","-0.03%"
"2008- 07- 01","114.83","113.89","116.06","112.84","0.80%"
"2008- 08- 01","116.69","115.03","117.20","114.06","1.62%"
"2008- 09- 01","114.62","116.66","120.53","114.02","-1.77%"
"2008- 10- 01","113.08","114.73","118.06","111.39","-1.34%"
"2008- 11- 01","122.89","113.11","123.17","112.86","8.68%"
"2008- 12- 01","125.75","122.91","130.80","122.70","2.33%"
"2009- 01- 01","122.67","126.33","127.52","122.34","-2.45%"
"2009- 02- 01","121.70","122.75","124.78","121.08","-0.79%"
"2009- 03- 01","124.08","121.92","127.05","121.75","1.96%"
"2009- 04- 01","120.94","124.22","124.56","120.50","-2.53%"
"2009- 05- 01","118.62","121.00","122.06","116.94","-1.92%"
"2009- 06- 01","116.27","118.36","118.45","114.25","-1.98%"
"2009- 07- 01","117.28","116.27","119.00","115.48","0.87%"
"2009- 08- 01","118.55","117.34","118.64","114.66","1.08%"
