"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 07- 14","27,154.20","27,364.69","27,398.68","27,068.79","1.13B","-0.65%"
"2019- 07- 07","27,332.03","26,835.64","27,333.79","26,665.57","1.14B","1.52%"
"2019- 06- 30","26,922.12","26,805.86","26,966.00","26,616.21","846.63M","1.21%"
"2019- 06- 23","26,599.96","26,727.61","26,806.52","26,465.32","1.54B","-0.45%"
"2019- 06- 16","26,719.13","26,108.53","26,907.37","26,049.80","1.48B","2.41%"
"2019- 06- 09","26,089.61","26,090.22","26,248.67","25,958.66","1.15B","0.41%"
"2019- 06- 02","25,983.94","24,830.16","26,072.75","24,680.57","1.38B","4.71%"
"2019- 05- 26","24,815.04","25,616.55","25,717.63","24,809.51","1.17B","-3.01%"
"2019- 05- 19","25,585.69","25,655.31","25,898.27","25,328.09","1.30B","-0.69%"
"2019- 05- 12","25,764.00","25,568.06","25,957.63","25,222.51","1.53B","-0.69%"
"2019- 05- 05","25,942.37","26,160.62","26,476.27","25,469.86","1.52B","-2.12%"
"2019- 04- 28","26,504.95","26,559.87","26,689.39","26,180.36","1.46B","-0.14%"
"2019- 04- 21","26,543.33","26,510.77","26,695.96","26,310.28","1.44B","-0.06%"
"2019- 04- 14","26,559.54","26,407.76","26,602.42","26,316.42","1.25B","0.56%"
"2019- 04- 07","26,412.30","26,312.67","26,436.68","26,062.59","1.26B","-0.05%"
"2019- 03- 31","26,424.99","26,075.10","26,487.57","26,071.69","1.28B","1.91%"
"2019- 03- 24","25,928.68","25,490.72","25,949.32","25,372.26","1.42B","1.67%"
"2019- 03- 17","25,502.32","25,801.88","26,109.68","25,501.45","1.69B","-1.34%"
"2019- 03- 10","25,848.87","25,208.00","25,927.91","25,208.00","1.87B","1.57%"
"2019- 03- 03","25,450.24","26,122.19","26,155.98","25,252.46","1.36B","-2.21%"
"2019- 02- 24","26,026.32","26,126.15","26,241.42","25,877.24","1.42B","-0.02%"
"2019- 02- 17","26,031.81","25,849.85","26,052.90","25,762.21","1.10B","0.57%"
"2019- 02- 10","25,883.25","25,142.81","25,883.72","25,009.10","1.42B","3.09%"
"2019- 02- 03","25,106.33","25,062.12","25,439.04","24,883.04","1.40B","0.17%"
"2019- 01- 27","25,063.89","24,596.98","25,193.15","24,323.94","1.95B","1.32%"
