"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 04- 19","1,115.33","1,117.05","1,120.26","1,112.94","","-0.10%"
"2021- 04- 16","1,116.50","1,116.85","1,121.57","1,113.06","","-0.02%"
"2021- 04- 15","1,116.68","1,116.26","1,119.82","1,113.01","","0.05%"
"2021- 04- 14","1,116.08","1,121.55","1,123.91","1,112.09","","-0.47%"
"2021- 04- 13","1,121.37","1,125.23","1,128.42","1,120.38","","-0.26%"
"2021- 04- 12","1,124.32","1,121.77","1,127.28","1,120.29","","0.30%"
"2021- 04- 09","1,120.98","1,116.75","1,122.58","1,113.15","","0.46%"
"2021- 04- 08","1,115.83","1,119.20","1,121.56","1,114.59","","-0.29%"
"2021- 04- 07","1,119.03","1,119.29","1,120.36","1,114.67","","-0.01%"
"2021- 04- 06","1,119.17","1,125.04","1,125.68","1,116.57","","-0.45%"
"2021- 04- 05","1,124.18","1,129.69","1,130.03","1,122.45","","-0.40%"
"2021- 04- 02","1,128.64","1,128.86","1,130.38","1,126.29","","-0.01%"
"2021- 04- 01","1,128.72","1,127.96","1,133.82","1,125.31","","0.14%"
"2021- 03- 31","1,127.17","1,133.54","1,134.68","1,125.32","","-0.48%"
"2021- 03- 30","1,132.59","1,132.56","1,136.29","1,131.42","","0.09%"
"2021- 03- 29","1,131.56","1,128.95","1,136.41","1,128.77","","0.27%"
"2021- 03- 26","1,128.52","1,135.24","1,136.09","1,128.07","","-0.58%"
"2021- 03- 25","1,135.12","1,135.40","1,138.02","1,131.93","","0.02%"
"2021- 03- 24","1,134.90","1,133.40","1,135.96","1,130.24","","0.18%"
"2021- 03- 23","1,132.90","1,126.49","1,134.48","1,125.02","","0.61%"
"2021- 03- 22","1,126.00","1,129.47","1,134.01","1,125.61","","-0.28%"
"2021- 03- 19","1,129.12","1,128.25","1,134.80","1,125.31","","0.12%"
"2021- 03- 18","1,127.75","1,121.91","1,131.30","1,120.04","","0.58%"
"2021- 03- 17","1,121.21","1,129.93","1,134.31","1,120.65","","-0.69%"
"2021- 03- 16","1,129.00","1,132.85","1,135.91","1,128.14","","-0.30%"
"2021- 03- 15","1,132.35","1,136.50","1,138.78","1,130.92","","-0.32%"
"2021- 03- 12","1,136.00","1,130.85","1,139.35","1,127.27","","0.50%"
"2021- 03- 11","1,130.35","1,136.91","1,140.99","1,128.90","","-0.49%"
"2021- 03- 10","1,135.91","1,135.91","1,145.60","1,135.31","","0.09%"
"2021- 03- 09","1,134.91","1,141.83","1,144.85","1,133.38","","-0.52%"
"2021- 03- 08","1,140.83","1,128.85","1,144.07","1,127.06","","1.14%"
"2021- 03- 05","1,128.00","1,131.03","1,137.27","1,124.04","","-0.25%"
"2021- 03- 04","1,130.87","1,127.05","1,133.06","1,123.36","","0.43%"
"2021- 03- 03","1,126.05","1,125.29","1,128.05","1,116.95","","0.09%"
"2021- 03- 02","1,125.01","1,113.53","1,128.28","1,102.06","","1.05%"
"2021- 03- 01","1,113.33","1,124.89","1,125.15","1,113.09","","-0.94%"
"2021- 02- 26","1,123.89","1,119.47","1,130.33","1,118.41","","0.46%"
"2021- 02- 25","1,118.77","1,107.54","1,121.61","1,105.70","","1.04%"
"2021- 02- 24","1,107.27","1,110.22","1,113.75","1,106.08","","-0.26%"
"2021- 02- 23","1,110.13","1,112.58","1,114.81","1,108.24","","-0.13%"
"2021- 02- 22","1,111.59","1,106.02","1,116.10","1,102.83","","0.66%"
"2021- 02- 19","1,104.27","1,107.08","1,111.28","1,102.22","","-0.24%"
"2021- 02- 18","1,106.96","1,106.50","1,110.15","1,103.19","","0.12%"
"2021- 02- 17","1,105.61","1,107.58","1,110.81","1,104.49","","-0.09%"
"2021- 02- 16","1,106.58","1,102.31","1,109.55","1,096.91","","0.48%"
"2021- 02- 15","1,101.31","1,104.37","1,106.00","1,100.70","","-0.12%"
"2021- 02- 12","1,102.59","1,103.12","1,107.59","1,101.73","","0.04%"
"2021- 02- 11","1,102.12","1,106.48","1,108.02","1,102.05","","-0.30%"
"2021- 02- 10","1,105.48","1,111.01","1,114.16","1,103.59","","-0.49%"
"2021- 02- 09","1,110.88","1,117.31","1,118.75","1,110.08","","-0.42%"
"2021- 02- 08","1,115.61","1,117.76","1,122.17","1,116.05","","-0.10%"
"2021- 02- 05","1,116.77","1,120.11","1,127.85","1,116.22","","-0.29%"
"2021- 02- 04","1,120.00","1,113.58","1,122.74","1,112.48","","0.59%"
"2021- 02- 03","1,113.46","1,115.51","1,117.25","1,111.80","","-0.17%"
"2021- 02- 02","1,115.37","1,117.44","1,119.70","1,113.65","","-0.10%"
"2021- 02- 01","1,116.51","1,118.43","1,120.98","1,115.55","","-0.10%"
"2021- 01- 29","1,117.64","1,113.24","1,121.76","1,112.15","","0.46%"
"2021- 01- 28","1,112.52","1,108.42","1,121.36","1,107.49","","0.37%"
"2021- 01- 27","1,108.38","1,102.01","1,109.90","1,100.87","","0.67%"
"2021- 01- 26","1,101.02","1,102.69","1,108.24","1,100.47","","-0.14%"
"2021- 01- 25","1,102.58","1,105.54","1,105.92","1,100.05","","-0.26%"
"2021- 01- 22","1,105.41","1,099.97","1,107.29","1,098.95","","0.50%"
"2021- 01- 21","1,099.88","1,097.35","1,102.67","1,096.59","","0.32%"
"2021- 01- 20","1,096.35","1,102.44","1,103.39","1,096.88","","-0.46%"
"2021- 01- 19","1,101.44","1,104.18","1,106.17","1,100.20","","-0.10%"
"2021- 01- 18","1,102.52","1,104.26","1,108.42","1,102.28","","-0.07%"
"2021- 01- 15","1,103.27","1,096.04","1,105.33","1,094.93","","0.67%"
"2021- 01- 14","1,095.88","1,098.11","1,103.42","1,093.93","","-0.11%"
"2021- 01- 13","1,097.12","1,094.60","1,099.33","1,092.37","","0.24%"
"2021- 01- 12","1,094.48","1,097.38","1,103.46","1,092.97","","-0.25%"
"2021- 01- 11","1,097.23","1,093.01","1,101.05","1,092.73","","0.39%"
"2021- 01- 08","1,092.93","1,094.35","1,099.21","1,088.79","","-0.12%"
"2021- 01- 07","1,094.28","1,088.03","1,096.78","1,085.42","","0.58%"
"2021- 01- 06","1,087.93","1,087.40","1,089.79","1,083.91","","0.14%"
"2021- 01- 05","1,086.42","1,086.69","1,090.33","1,082.04","","-0.01%"
"2021- 01- 04","1,086.48","1,085.73","1,088.30","1,080.02","","0.16%"
"2021- 01- 01","1,084.73","1,085.69","1,086.10","1,085.25","","0.02%"
"2020- 12- 31","1,084.47","1,088.43","1,090.35","1,082.97","","-0.29%"
"2020- 12- 30","1,087.62","1,091.97","1,093.92","1,084.52","","-0.31%"
"2020- 12- 29","1,090.97","1,097.30","1,098.57","1,090.63","","-0.42%"
"2020- 12- 28","1,095.60","1,100.08","1,103.55","1,093.51","","-0.32%"
"2020- 12- 25","1,099.07","1,102.66","1,102.81","1,100.03","","-0.23%"
"2020- 12- 24","1,101.59","1,106.87","1,107.47","1,100.48","","-0.46%"
"2020- 12- 23","1,106.65","1,109.94","1,111.05","1,104.68","","-0.28%"
"2020- 12- 22","1,109.72","1,104.31","1,111.05","1,102.46","","0.65%"
"2020- 12- 21","1,102.55","1,099.48","1,112.74","1,097.94","","0.29%"
"2020- 12- 18","1,099.39","1,094.01","1,100.78","1,092.34","","0.58%"
"2020- 12- 17","1,093.01","1,094.12","1,095.43","1,090.27","","0.06%"
"2020- 12- 16","1,092.36","1,089.56","1,096.55","1,088.05","","0.27%"
"2020- 12- 15","1,089.43","1,093.32","1,096.14","1,088.49","","-0.33%"
"2020- 12- 14","1,093.07","1,091.80","1,094.91","1,088.85","","0.13%"
"2020- 12- 11","1,091.67","1,087.34","1,094.56","1,085.27","","0.56%"
"2020- 12- 10","1,085.55","1,087.38","1,091.93","1,084.12","","-0.09%"
"2020- 12- 09","1,086.48","1,085.79","1,088.97","1,080.82","","0.15%"
"2020- 12- 08","1,084.86","1,084.53","1,087.79","1,082.49","","0.12%"
